"mascon.id","lon","lat","year","month","model_no_B","model_snow_B","model_linear_B","model_no_A","model_snow_A","model_linear_A","model_best"
17,315,84,2017,7,-635.177014552598,-1071.1085059894,-1547.90688295249,-1416.25422683399,-1394.16069469956,-1403.27536497688,-1403.27536497688
17,315,84,2017,8,-635.119159347277,-1001.91921045095,-1562.00878030798,-1448.85191465613,-1377.05843609663,-1437.16948675309,-1437.16948675309
17,315,84,2017,9,-635.172894510185,-954.798766566804,-1585.04817575434,-1481.56119284649,-1382.025029148,-1480.00110662017,-1480.00110662017
17,315,84,2017,10,-635.261756157185,-944.384006066093,-1626.06517969709,-1514.30559752095,-1423.6973055828,-1540.81033498365,-1540.81033498365
17,315,84,2017,11,-635.289909948821,-942.996442535542,-1653.14035268862,-1546.98929434004,-1474.39677898777,-1587.67773239589,-1587.67773239589
17,315,84,2017,12,-635.291896371315,-941.47412395333,-1673.09017958874,-1579.64682379,-1524.96149734107,-1627.41978371673,-1627.41978371673
17,315,84,2018,1,-635.282997221323,-936.253080853635,-1730.79467222584,-1612.29346766746,-1571.82749117689,-1704.91650077455,-1704.91650077455
17,315,84,2018,2,-635.280383406406,-929.533808205449,-1710.98976517051,-1644.94639688,-1617.19525546422,-1704.90381813994,-1704.90381813994
17,315,84,2018,3,-635.279807110223,-922.066649749036,-1750.41925547117,-1677.60136361128,-1661.81513394332,-1764.12553286133,-1764.12553286133
17,315,84,2018,4,-635.284045171501,-915.544410324127,-1744.80208697566,-1710.26114470001,-1707.37993145393,-1778.30058878654,-1778.30058878654
17,315,84,2018,5,-635.274785980536,-905.287316188844,-1715.92448355115,-1742.9074285365,-1749.20987425416,-1769.21520978275,-1769.21520978275
